n;m;d1;d2;d3;sweeps;ann_type;mu_type;mu1;mu2;mu3;mu4;mu5;mu6;mu7
48;4;[16,26,31,39,42,46];[22,32,34,36,41,42];[22,27,28,38,40,41,45];500000;quantum;static;35;2.1;14;14;0.2;0.3;0.1
48;4;[16,26,31,39,42,46];[22,32,34,36,41,42];[22,27,28,38,40,41,45];1000000;quantum;static;35;2.1;14;14;0.2;0.3;0.1
48;4;[16,26,31,39,42,46];[22,32,34,36,41,42];[22,27,28,38,40,41,45];5000000;quantum;static;35;2.1;14;14;0.2;0.3;0.1
48;4;[16,26,31,39,42,46];[22,32,34,36,41,42];[22,27,28,38,40,41,45];10000000;quantum;static;35;2.1;14;14;0.2;0.3;0.1
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];50000;classical;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];100000;classical;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];500000;classical;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];1000000;classical;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];5000000;classical;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];10000000;classical;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];50000000;classical;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];50000;quantum;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];100000;quantum;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];500000;quantum;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];1000000;quantum;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];5000000;quantum;static;35;0.8;15;15;0.2;0.1;0.05
60;4;[16,40,37,59,53,51,50];[26,40,37,43,49,55,51,50];[28,31,40,45,56,59];10000000;quantum;static;35;0.8;15;15;0.2;0.1;0.05
